,Biomodel name,coverage,automatic annotation,ontology for automatic annotation,manual annotation,ontology for manual annotation
591,BIOMD0000000636,0.2631578947368421,"['Indirect', 'Adenosine', 'Pathway', 'Basal', 'Synergistic', 'cAMP-mediated signaling', 'ADNI-AVLT Questionnaire Question', 'Activation', 'Computer Modeling', 'inhibited', 'acetylcholine', 'Interactive Kiosk', 'Similarity', 'Inhibition', 'Dopamine']","['http://purl.obolibrary.org/obo/NCIT_C62255', 'http://purl.obolibrary.org/obo/NCIT_C207', 'http://purl.obolibrary.org/obo/NCIT_C54214', 'http://purl.obolibrary.org/obo/NCIT_C90067', 'http://purl.obolibrary.org/obo/NCIT_C94380', 'http://purl.obolibrary.org/obo/GO_0019933', 'http://purl.obolibrary.org/obo/NCIT_C101870', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://biomodels.net/SBO/SBO_0000642', 'http://purl.obolibrary.org/obo/CHEBI_15355', 'http://purl.obolibrary.org/obo/NCIT_C19749', 'http://purl.obolibrary.org/obo/NCIT_C72665', 'http://purl.obolibrary.org/obo/NCIT_C42791', 'http://purl.obolibrary.org/obo/NCIT_C62025']","[' Mus musculus,  dopamine uptake,  G-protein coupled receptor activity,  Ordinary differential equation model,  dopamine receptor signaling pathway,  adenylate cyclase activity']","[' 10090,  GO:0090494,  GO:0004930,  MAMO_0000046,  GO:0007212,  GO:0004016']"
144,BIOMD0000000146,0.2631578947368421,"['Cross-Talk', 'PI3K/MTOR Pathway Mutation', 'Protein Phosphatase 2A', 'PI3K-AKT Pathway Deregulation', 'Heregulin Positive', 'Modest Extremity Pain']","['http://purl.obolibrary.org/obo/NCIT_C94304', 'http://purl.obolibrary.org/obo/NCIT_C137953', 'http://purl.obolibrary.org/obo/NCIT_C42582', 'http://purl.obolibrary.org/obo/NCIT_C38347', 'http://purl.obolibrary.org/obo/NCIT_C138951', 'http://purl.obolibrary.org/obo/NCIT_C121392']","[' Ordinary differential equation model,  Cricetinae,  regulation of protein kinase B signaling,  regulation of MAP kinase activity,  ERBB signaling pathway']","[' MAMO_0000046,  10026,  GO:0051896,  GO:0043405,  GO:0038127']"
257,BIOMD0000000260,0.2631578947368421,"['Pharmacokinetic Parameters Domain', 'Excretion', 'Entity', 'Induced Cataract', 'Quantitative Concept', 'Dietary Iron', 'Iron Uptake Inhibition', 'disease', 'Mathematical Model', 'Iron Deficiency', 'C57BL/6J', 'Cell', 'Set of compartments', 'Systemic', 'Body Irradiation Model', 'Cell', 'Trace Element', 'Toxic', 'Membranous layer', 'iron atom', 'Property of Relationship', 'tracer', 'Oxygen', 'iron atom', 'Calculation', 'Steady-State', 'Hormonal', 'Organism']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C94618', 'http://purl.obolibrary.org/obo/NCIT_C51070', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C68256', 'http://purl.obolibrary.org/obo/NCIT_C41622', 'http://www.ebi.ac.uk/efo/EFO_0000408', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C158814', 'http://www.ebi.ac.uk/efo/EFO_0000606', 'http://purl.obolibrary.org/obo/NCIT_C12508', 'http://purl.obolibrary.org/obo/FMA_76577', 'http://purl.obolibrary.org/obo/NCIT_C13310', 'http://purl.obolibrary.org/obo/NCIT_C161499', 'http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C896', 'http://purl.obolibrary.org/obo/NCIT_C28004', 'http://purl.obolibrary.org/obo/FMA_82500', 'http://purl.obolibrary.org/obo/CHEBI_18248', 'http://purl.obolibrary.org/obo/NCIT_C75915', 'http://purl.obolibrary.org/obo/CHEBI_35204', 'http://purl.obolibrary.org/obo/NCIT_C722', 'http://purl.obolibrary.org/obo/CHEBI_18248', 'http://purl.obolibrary.org/obo/NCIT_C54125', 'http://purl.obolibrary.org/obo/NCIT_C151966', 'http://purl.obolibrary.org/obo/NCIT_C25528', 'http://purl.obolibrary.org/obo/NCIT_C14250']","[' Ordinary differential equation model,  iron ion transport,  regulation of iron ion transport,  multicellular organismal iron ion homeostasis,  Mus musculus']","[' MAMO_0000046,  GO:0006826,  GO:0034756,  GO:0060586,  10090']"
79,BIOMD0000000081,0.2631578947368421,"['Oncogenes, G-Proteins', 'agonist', 'Spontaneously Regressed Retinoblastoma', 'Kinetics', 'KCNQ1OT1 Gene', 'excitability', 'Confocal Microscopy', 'inhibitor', 'GTP', 'Transfection', 'Magnesium Cation', 'Sensitivity', 'Plasma Membrane', 'Biochemical', 'M1', 'Activation', 'Phosphatidylinositol 4,5-bisphosphate', 'oxotremorine M', 'Spontaneous', 'Regulator', 'Dialysis', 'Hydrolysis', 'Decreased', 'Intracellular', 'G-Protein Signaling Pathway']","['http://purl.obolibrary.org/obo/NCIT_C18340', 'http://purl.obolibrary.org/obo/CHEBI_48705', 'http://purl.obolibrary.org/obo/NCIT_C66816', 'http://purl.obolibrary.org/obo/NCIT_C16770', 'http://purl.obolibrary.org/obo/NCIT_C114316', 'http://identifiers.org/teddy/TEDDY_0000179', 'http://purl.obolibrary.org/obo/NCIT_C17753', 'http://purl.obolibrary.org/obo/CHEBI_35222', 'http://purl.obolibrary.org/obo/CHEBI_15996', 'http://purl.obolibrary.org/obo/NCIT_C17209', 'http://purl.obolibrary.org/obo/NCIT_C68265', 'http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C13735', 'http://purl.obolibrary.org/obo/NCIT_C25434', 'http://purl.obolibrary.org/obo/CHEBI_34826', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C1192', 'http://purl.obolibrary.org/obo/CHEBI_38322', 'http://purl.obolibrary.org/obo/NCIT_C48307', 'http://purl.obolibrary.org/obo/NCIT_C48806', 'http://purl.obolibrary.org/obo/NCIT_C15221', 'http://purl.obolibrary.org/obo/NCIT_C16702', 'http://purl.obolibrary.org/obo/NCIT_C164132', 'http://purl.obolibrary.org/obo/NCIT_C28217', 'http://purl.obolibrary.org/obo/NCIT_C39096']","[' phospholipase C-activating G-protein coupled acetylcholine receptor signaling pathway,  lipid metabolic process,  Calcium signaling pathway,  Phosphatidylinositol signaling system,  Homo sapiens']","[' GO:0007207,  GO:0006629,  map04020,  map04070,  9606']"
58,BIOMD0000000060,0.2631578947368421,"['Cell', 'Pharmacokinetic Parameters Domain', 'Influx Constant', 'Imaging Finding Ranges', 'Adaptation', 'Ryanodine receptor', 'HOMA-B', 'Inhibition']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C94915', 'http://purl.obolibrary.org/obo/NCIT_C180890', 'http://purl.obolibrary.org/obo/NCIT_C158868', 'http://purl.obolibrary.org/obo/FMA_62492', 'http://www.ebi.ac.uk/efo/EFO_0004469', 'http://purl.obolibrary.org/obo/NCIT_C42791']","[' cellular organisms,  Calcium signaling pathway,  calcium-mediated signaling,  ryanodine-sensitive calcium-release channel activity,  calcium-induced calcium release activity,  Ordinary differential equation model']","[' 131567,  map04020,  GO:0019722,  GO:0005219,  GO:0048763,  MAMO_0000046']"
743,BIOMD0000000806,0.2608695652173913,"['Cancer Treatment Trial', 'Induced Cataract', 'M1', 'anti-topoisomerase-I-antibody-positive systemic scleroderma', 'Quantitative Concept', 'Immunity', 'Oncolytic Virus', 'Oncolytic Virus Therapy', 'innate behavior design', 'VSV-GP BI 1831169', 'somatostatinoma', 'Effectiveness', 'effector']","['http://purl.obolibrary.org/obo/NCIT_C16096', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/CHEBI_34826', 'http://www.ebi.ac.uk/efo/EFO_0008537', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C16710', 'http://purl.obolibrary.org/obo/NCIT_C717', 'http://purl.obolibrary.org/obo/NCIT_C62713', 'http://www.ebi.ac.uk/efo/EFO_0001749', 'http://purl.obolibrary.org/obo/NCIT_C186270', 'http://www.ebi.ac.uk/efo/EFO_1001187', 'http://purl.obolibrary.org/obo/NCIT_C142522', 'http://purl.obolibrary.org/obo/CHEBI_35224']","[' regulation of immune response to tumor cell,  Ordinary differential equation model,  skin cancer,  cancer,  Oncolytic Virus Therapy,  Mus musculus,  Vesicular stomatitis virus,  cancer']","[' GO:0002837,  MAMO_0000046,  DOID:4159,  DOID:162,  C62713,  10090,  11276,  0000311']"
755,BIOMD0000000818,0.25,"['Post-Translational Regulation', 'Apoptosis', 'Sequential', 'ERK Inhibitor', 'PI3K-AKT Pathway Deregulation', 'Physiology', 'Proliferation', 'Temporal', 'Dynamic Range', 'Quantitative Concept', 'Cell', 'Saturation', 'Integration', 'Mathematical Model', 'Input', 'Flexible']","['http://purl.obolibrary.org/obo/NCIT_C19903', 'http://purl.obolibrary.org/obo/NCIT_C17557', 'http://purl.obolibrary.org/obo/NCIT_C49153', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/NCIT_C38347', 'http://purl.obolibrary.org/obo/NCIT_C16990', 'http://purl.obolibrary.org/obo/NCIT_C28378', 'http://purl.obolibrary.org/obo/NCIT_C73990', 'http://purl.obolibrary.org/obo/NCIT_C94889', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C12508', 'http://purl.obolibrary.org/obo/NCIT_C61427', 'http://purl.obolibrary.org/obo/NCIT_C48038', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C80495']","[' Ordinary differential equation model,  Mammalia,  cancer stem cell,  growth factor signaling pathway,  regulation of protein stability']","[' MAMO_0000046,  40674,  BTO:0004254,  PW:0000168,  GO:0031647']"
925,BIOMD0000001002,0.25,"['Cell', 'Transmitter Device', 'Cytokine', 'Regeneration', 'Population Group', 'Quantitative Concept', 'Alterations in Hearing', 'Heterogeneity', 'TGFB1 wt Allele', 'tissue homeostasis', 'Signaling Protein', 'single-cell RNA sequencing', 'Computer Modeling', 'Cancer Pathway', 'Affected', 'Input', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C17083', 'http://purl.obolibrary.org/obo/NCIT_C17005', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C5037', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C52015', 'http://purl.obolibrary.org/obo/GO_0001894', 'http://purl.obolibrary.org/obo/NCIT_C18515', 'http://www.ebi.ac.uk/efo/EFO_0008913', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C64917', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  breast epithelial cell,  sequestering of TGFbeta from receptor via TGFbeta binding,  transforming growth factor beta receptor signaling pathway']","[' 9606,  MAMO_0000046,  BTO:0001211,  GO:0038105,  GO:0007179']"
9,BIOMD0000000010,0.25,"['Stimulus', 'Activation', 'Cytoplasm', 'Total Protein Measurement', 'protein', 'Cell', 'MAPK cascade', 'Sustained Engraftment', 'Sensitivity', 'Signal Transduction', 'Intracellular', 'Cellularity Measurement']","['http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C13226', 'http://purl.obolibrary.org/obo/NCIT_C64858', 'http://purl.obolibrary.org/obo/CHEBI_36080', 'http://purl.obolibrary.org/obo/NCIT_C12508', 'http://purl.obolibrary.org/obo/GO_0000165', 'http://purl.obolibrary.org/obo/NCIT_C111964', 'http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C17133', 'http://purl.obolibrary.org/obo/NCIT_C28217', 'http://purl.obolibrary.org/obo/NCIT_C111153']","[' MAPK cascade,  Xenopus laevis']","[' GO:0000165,  8355']"
346,BIOMD0000000351,0.25,"['Gene Expression', 'Robust', 'Conjunction', 'Hormone', 'Pathway', 'Sensor', 'published', 'Patterns of Care', 'Mathematical Model', 'Organogenesis', 'Input']","['http://purl.obolibrary.org/obo/NCIT_C16608', 'http://purl.obolibrary.org/obo/NCIT_C94972', 'http://purl.obolibrary.org/obo/NCIT_C79874', 'http://purl.obolibrary.org/obo/NCIT_C2315', 'http://purl.obolibrary.org/obo/NCIT_C54214', 'http://purl.obolibrary.org/obo/NCIT_C28220', 'http://www.ebi.ac.uk/efo/EFO_0001796', 'http://purl.obolibrary.org/obo/NCIT_C19155', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C17729', 'http://purl.obolibrary.org/obo/NCIT_C47905']","[' Arabidopsis,  auxin-activated signaling pathway']","[' 3701,  GO:0009734']"
133,BIOMD0000000135,0.25,"['Computer Modeling', 'Cortical Bone', 'bursting']","['http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C52714', 'http://identifiers.org/teddy/TEDDY_0000055']","[' neuronal action potential,  Mammalia']","[' GO:0019228,  40674']"
347,BIOMD0000000352,0.25,"['Gene Expression', 'Robust', 'Conjunction', 'Hormone', 'Pathway', 'Sensor', 'published', 'Patterns of Care', 'Mathematical Model', 'Organogenesis', 'Input']","['http://purl.obolibrary.org/obo/NCIT_C16608', 'http://purl.obolibrary.org/obo/NCIT_C94972', 'http://purl.obolibrary.org/obo/NCIT_C79874', 'http://purl.obolibrary.org/obo/NCIT_C2315', 'http://purl.obolibrary.org/obo/NCIT_C54214', 'http://purl.obolibrary.org/obo/NCIT_C28220', 'http://www.ebi.ac.uk/efo/EFO_0001796', 'http://purl.obolibrary.org/obo/NCIT_C19155', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C17729', 'http://purl.obolibrary.org/obo/NCIT_C47905']","[' Arabidopsis,  auxin-activated signaling pathway']","[' 3701,  GO:0009734']"
928,BIOMD0000001005,0.25,"['Diabetes Mellitus', 'Rat', 'Organ', 'metabolic syndrome', 'Elevated', 'Obesity', 'Liver', 'Disruption', 'CLOCK Gene', 'Sensitivity', 'Disruption']","['http://purl.obolibrary.org/obo/NCIT_C2985', 'http://purl.obolibrary.org/obo/NCIT_C160998', 'http://purl.obolibrary.org/obo/NCIT_C13018', 'http://www.ebi.ac.uk/efo/EFO_0000195', 'http://purl.obolibrary.org/obo/NCIT_C25493', 'http://purl.obolibrary.org/obo/NCIT_C3283', 'http://purl.obolibrary.org/obo/NCIT_C12392', 'http://purl.obolibrary.org/obo/NCIT_C25486', 'http://purl.obolibrary.org/obo/NCIT_C119689', 'http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C25486']","[' Ordinary differential equation model,  Mus musculus,  Rattus norvegicus,  Circadian Rhythm Pathway BioCarta']","[' MAMO_0000046,  10090,  10116,  C39030']"
926,BIOMD0000001003,0.25,"['Cell', 'Transmitter Device', 'Cytokine', 'Regeneration', 'Population Group', 'Quantitative Concept', 'Alterations in Hearing', 'Heterogeneity', 'TGFB1 wt Allele', 'tissue homeostasis', 'Signaling Protein', 'single-cell RNA sequencing', 'Computer Modeling', 'Cancer Pathway', 'Affected', 'Input', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C17083', 'http://purl.obolibrary.org/obo/NCIT_C17005', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C5037', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C52015', 'http://purl.obolibrary.org/obo/GO_0001894', 'http://purl.obolibrary.org/obo/NCIT_C18515', 'http://www.ebi.ac.uk/efo/EFO_0008913', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C64917', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  breast epithelial cell,  sequestering of TGFbeta from receptor via TGFbeta binding,  transforming growth factor beta receptor signaling pathway']","[' 9606,  MAMO_0000046,  BTO:0001211,  GO:0038105,  GO:0007179']"
923,BIOMD0000001000,0.25,"['Cell', 'Transmitter Device', 'Cytokine', 'Regeneration', 'Population Group', 'Quantitative Concept', 'Alterations in Hearing', 'Heterogeneity', 'TGFB1 wt Allele', 'tissue homeostasis', 'Signaling Protein', 'single-cell RNA sequencing', 'Computer Modeling', 'Cancer Pathway', 'Affected', 'Input', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C17083', 'http://purl.obolibrary.org/obo/NCIT_C17005', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C5037', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C52015', 'http://purl.obolibrary.org/obo/GO_0001894', 'http://purl.obolibrary.org/obo/NCIT_C18515', 'http://www.ebi.ac.uk/efo/EFO_0008913', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C64917', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  breast epithelial cell,  sequestering of TGFbeta from receptor via TGFbeta binding,  transforming growth factor beta receptor signaling pathway']","[' 9606,  MAMO_0000046,  BTO:0001211,  GO:0038105,  GO:0007179']"
924,BIOMD0000001001,0.25,"['Cell', 'Transmitter Device', 'Cytokine', 'Regeneration', 'Population Group', 'Quantitative Concept', 'Alterations in Hearing', 'Heterogeneity', 'TGFB1 wt Allele', 'tissue homeostasis', 'Signaling Protein', 'single-cell RNA sequencing', 'Computer Modeling', 'Cancer Pathway', 'Affected', 'Input', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C17083', 'http://purl.obolibrary.org/obo/NCIT_C17005', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C5037', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C52015', 'http://purl.obolibrary.org/obo/GO_0001894', 'http://purl.obolibrary.org/obo/NCIT_C18515', 'http://www.ebi.ac.uk/efo/EFO_0008913', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C64917', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  breast epithelial cell,  sequestering of TGFbeta from receptor via TGFbeta binding,  transforming growth factor beta receptor signaling pathway']","[' 9606,  MAMO_0000046,  BTO:0001211,  GO:0038105,  GO:0007179']"
132,BIOMD0000000134,0.25,"['Computer Modeling', 'Cortical Bone', 'bursting']","['http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C52714', 'http://identifiers.org/teddy/TEDDY_0000055']","[' neuronal action potential,  Mammalia']","[' GO:0019228,  40674']"
131,BIOMD0000000133,0.25,"['Computer Modeling', 'Cortical Bone', 'bursting']","['http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C52714', 'http://identifiers.org/teddy/TEDDY_0000055']","[' neuronal action potential,  Mammalia']","[' GO:0019228,  40674']"
922,BIOMD0000000999,0.25,"['Cell', 'Transmitter Device', 'Cytokine', 'Regeneration', 'Population Group', 'Quantitative Concept', 'Alterations in Hearing', 'Heterogeneity', 'TGFB1 wt Allele', 'tissue homeostasis', 'Signaling Protein', 'single-cell RNA sequencing', 'Computer Modeling', 'Cancer Pathway', 'Affected', 'Input', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C17083', 'http://purl.obolibrary.org/obo/NCIT_C17005', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C5037', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C52015', 'http://purl.obolibrary.org/obo/GO_0001894', 'http://purl.obolibrary.org/obo/NCIT_C18515', 'http://www.ebi.ac.uk/efo/EFO_0008913', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C64917', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  breast epithelial cell,  sequestering of TGFbeta from receptor via TGFbeta binding,  transforming growth factor beta receptor signaling pathway']","[' 9606,  MAMO_0000046,  BTO:0001211,  GO:0038105,  GO:0007179']"
920,BIOMD0000000997,0.25,"['Cell', 'Transmitter Device', 'Cytokine', 'Regeneration', 'Population Group', 'Quantitative Concept', 'Alterations in Hearing', 'Heterogeneity', 'TGFB1 wt Allele', 'tissue homeostasis', 'Signaling Protein', 'single-cell RNA sequencing', 'Computer Modeling', 'Cancer Pathway', 'Affected', 'Input', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C17083', 'http://purl.obolibrary.org/obo/NCIT_C17005', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C5037', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C52015', 'http://purl.obolibrary.org/obo/GO_0001894', 'http://purl.obolibrary.org/obo/NCIT_C18515', 'http://www.ebi.ac.uk/efo/EFO_0008913', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C64917', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  breast epithelial cell,  sequestering of TGFbeta from receptor via TGFbeta binding,  transforming growth factor beta receptor signaling pathway']","[' 9606,  MAMO_0000046,  BTO:0001211,  GO:0038105,  GO:0007179']"
919,BIOMD0000000996,0.25,"['Cell', 'Transmitter Device', 'Cytokine', 'Regeneration', 'Population Group', 'Quantitative Concept', 'Alterations in Hearing', 'Heterogeneity', 'TGFB1 wt Allele', 'tissue homeostasis', 'Signaling Protein', 'single-cell RNA sequencing', 'Computer Modeling', 'Cancer Pathway', 'Affected', 'Input', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C17083', 'http://purl.obolibrary.org/obo/NCIT_C17005', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C5037', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C52015', 'http://purl.obolibrary.org/obo/GO_0001894', 'http://purl.obolibrary.org/obo/NCIT_C18515', 'http://www.ebi.ac.uk/efo/EFO_0008913', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C64917', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  breast epithelial cell,  sequestering of TGFbeta from receptor via TGFbeta binding,  transforming growth factor beta receptor signaling pathway']","[' 9606,  MAMO_0000046,  BTO:0001211,  GO:0038105,  GO:0007179']"
918,BIOMD0000000995,0.25,"['Cell', 'Transmitter Device', 'Cytokine', 'Regeneration', 'Population Group', 'Quantitative Concept', 'Alterations in Hearing', 'Heterogeneity', 'TGFB1 wt Allele', 'tissue homeostasis', 'Signaling Protein', 'single-cell RNA sequencing', 'Computer Modeling', 'Cancer Pathway', 'Affected', 'Input', 'Dose']","['http://purl.obolibrary.org/obo/NCIT_C48694', 'http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C17083', 'http://purl.obolibrary.org/obo/NCIT_C17005', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C5037', 'http://purl.obolibrary.org/obo/NCIT_C28359', 'http://purl.obolibrary.org/obo/NCIT_C52015', 'http://purl.obolibrary.org/obo/GO_0001894', 'http://purl.obolibrary.org/obo/NCIT_C18515', 'http://www.ebi.ac.uk/efo/EFO_0008913', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C91436', 'http://purl.obolibrary.org/obo/NCIT_C64917', 'http://purl.obolibrary.org/obo/NCIT_C47905', 'http://purl.obolibrary.org/obo/NCIT_C25488']","[' Homo sapiens,  Ordinary differential equation model,  breast epithelial cell,  sequestering of TGFbeta from receptor via TGFbeta binding,  transforming growth factor beta receptor signaling pathway']","[' 9606,  MAMO_0000046,  BTO:0001211,  GO:0038105,  GO:0007179']"
134,BIOMD0000000136,0.25,"['Computer Modeling', 'Cortical Bone', 'bursting']","['http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C52714', 'http://identifiers.org/teddy/TEDDY_0000055']","[' neuronal action potential,  Mammalia']","[' GO:0019228,  40674']"
939,BIOMD0000001016,0.25,"['Pharmacokinetic Parameters Domain', 'Activation', 'Pathway']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C54214']","[' Homo sapiens,  Ordinary differential equation model,  blood plasma,  alternative complement pathway,  innate immune response,  complement deficiency']","[' 9606,  MAMO_0000046,  BTO:0000131,  PW:0000505,  GO:0045087,  DOID:626']"
